P20	col	row	globalx	globaly	frac	rawBA	BA	gallperlf	stemdens	maxdbh	ageest	spp	middens	middenslt20		ElevPost
A0	A	0	0	340	100	0.85398777	21.34969426	NA	12	49.2	134.7096	3	2	1		19
A1	A	1	0	320	100	1.236077694	30.90194234	NA	22	51.6	141.2808	6	7	4		20
A10	A	10	0	140	100	1.024357911	25.60894777	NA	22	43.2	118.2816	4	4	0		25.593
A11	A	11	0	120	100	1.742497717	43.56244293	NA	22	62	169.756	5	3	1		20.864
A12	A	12	0	100	62	1.067468416	43.04308129	NA	33	47.6	130.3288	6	13	11		16.252
A2	A	2	0	300	100	0.79030219	19.75755474	NA	12	47.8	130.8764	4	0	0		25.931
A3	A	3	0	280	100	1.045061006	26.12652516	NA	17	49.7	136.0786	4	1	0		31.776
A4	A	4	0	260	100	1.325924887	33.14812219	NA	21	45.3	124.0314	4	1	0		32.784
A5	A	5	0	240	100	0.920499214	23.01248035	NA	20	36.6	100.2108	6	1	0		33.047
A6	A	6	0	220	100	1.032017899	25.80044748	NA	16	54.8	150.0424	4	1	0		34.863
A7	A	7	0	200	100	1.291388574	32.28471435	NA	16	45.6	124.8528	3	0	0		34.051
A8	A	8	0	180	100	1.303410664	32.58526659	NA	23	53.3	145.9354	7	9	2		31.821
A9	A	9	0	160	100	1.183691636	29.59229091	NA	25	48.8	133.6144	5	9	5		30.074
AA10	AA	10	520	140	25	0.809407	80.94069999	NA	25	34.7	95.0086	6	9	5		1.845
AA11	AA	11	520	120	30	0.624807801	52.06731674	NA	21	32.4	88.7112	7	6	4		0.267
AA12	AA	12	520	100	10	0.264712168	66.17804195	NA	6	42.5	116.365	4	1	1		0.022
AA6	AA	6	520	220	3	0.020541304	17.11775297	NA	2	12.3	33.6774	2	1	1		0
AA7	AA	7	520	200	25	0.605841221	60.58412207	NA	22	42.4	116.0912	2	0	0		0
AA8	AA	8	520	180	35	0.830169786	59.29784184	NA	20	42.3	115.8174	5	2	2		3.296
AA9	AA	9	520	160	25	0.3204613	32.04613002	NA	10	32	87.616	5	1	1		3.541
B0	B	0	20	340	100	0.621883764	15.54709409	NA	15	38.7	105.9606	5	3	1		25
B1	B	1	20	320	100	1.48300452	37.075113	NA	19	54.5	149.221	5	5	3		28.181
B10	B	10	20	140	100	1.296774835	32.41937086	NA	24	57.2	156.6136	7	6	2		28.696
B11	B	11	20	120	100	1.858235561	46.45588903	NA	26	42.9	117.4602	5	3	1		22.553
B12	B	12	20	100	75	1.233345294	41.11150978	NA	33	45.3	124.0314	6	9	7		18.52
B2	B	2	20	300	100	1.153723198	28.84307996	NA	20	48.9	133.8882	6	2	2		31.966
B3	B	3	20	280	100	1.056840408	26.4210102	NA	18	46	125.948	4	1	0		35.261
B4	B	4	20	260	100	0.881249726	22.03124315	NA	17	41.2	112.8056	2	0	0		36.998
B5	B	5	20	240	100	0.954049067	23.85122668	NA	15	44.6	122.1148	4	2	1		38.373
B6	B	6	20	220	100	1.116419142	27.91047855	NA	13	50.9	139.3642	3	0	0		38.457
B7	B	7	20	200	100	0.846930183	21.17325456	NA	18	41.8	114.4484	4	3	1		38.559
